RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (806 Receptors)
SURFACE FILE: ../dados_aermet/ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, # Hours, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,   24,        0.000,     -300.000,        0.000,   0.680093E+02, 
 1988,   61,   24,       40.000,     -300.000,        0.000,   0.820198E+02, 
 1988,   61,   24,       80.000,     -300.000,        0.000,   0.937258E+02, 
 1988,   61,   24,      120.000,     -300.000,        0.000,   0.105919E+03, 
 1988,   61,   24,      160.000,     -300.000,        0.000,   0.117888E+03, 
 1988,   61,   24,      200.000,     -300.000,        0.000,   0.126132E+03, 
 1988,   61,   24,      240.000,     -300.000,        0.000,   0.130816E+03, 
 1988,   61,   24,      280.000,     -300.000,        0.000,   0.133833E+03, 
 1988,   61,   24,      320.000,     -300.000,        0.000,   0.136442E+03, 
 1988,   61,   24,      360.000,     -300.000,        0.000,   0.138424E+03, 
 1988,   61,   24,      400.000,     -300.000,        0.000,   0.138960E+03, 
 1988,   61,   24,      440.000,     -300.000,        0.000,   0.140226E+03, 
 1988,   61,   24,      480.000,     -300.000,        0.000,   0.139173E+03, 
 1988,   61,   24,      520.000,     -300.000,        0.000,   0.141587E+03, 
 1988,   61,   24,      560.000,     -300.000,        0.000,   0.141427E+03, 
 1988,   61,   24,      600.000,     -300.000,        0.000,   0.140073E+03, 
 1988,   61,   24,      640.000,     -300.000,        0.000,   0.140417E+03, 
 1988,   61,   24,      680.000,     -300.000,        0.000,   0.139558E+03, 
 1988,   61,   24,      720.000,     -300.000,        0.000,   0.138275E+03, 
 1988,   61,   24,      760.000,     -300.000,        0.000,   0.135484E+03, 
 1988,   61,   24,      800.000,     -300.000,        0.000,   0.133617E+03, 
 1988,   61,   24,      840.000,     -300.000,        0.000,   0.128324E+03, 
 1988,   61,   24,      880.000,     -300.000,        0.000,   0.120512E+03, 
