RLINEv1_2   
SOURCE FILE: CALTRANS99_Source.txt (4 Sources)
RECEPTOR FILE: CALTRANS99_ALLreceptors.txt (7 Receptors)
SURFACE FILE: CALTRANS99_met.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_NB, C_SB,
   81,  357,    6,     -128.560,     -153.200,        1.000,   0.963721E+04,   0.818923E+04, 
   81,  357,    6,      -64.280,      -76.600,        1.000,   0.268358E+05,   0.192258E+05, 
   81,  357,    6,      -32.140,      -38.300,        1.000,   0.721469E+05,   0.409918E+05, 
   81,  357,    6,       32.140,       38.300,        1.000,   0.313057E+06,   0.528320E+06, 
   81,  357,    6,       64.280,       76.600,        1.000,   0.169781E+06,   0.220183E+06, 
   81,  357,    6,      128.560,      153.200,        1.000,   0.950240E+05,   0.104518E+06, 
   81,  357,    6,        0.000,        0.000,        1.000,   0.187778E+07,   0.172499E+06, 
   81,  357,    7,     -128.560,     -153.200,        1.000,   0.716337E+04,   0.626146E+04, 
   81,  357,    7,      -64.280,      -76.600,        1.000,   0.154808E+05,   0.121488E+05, 
   81,  357,    7,      -32.140,      -38.300,        1.000,   0.313837E+05,   0.209840E+05, 
   81,  357,    7,       32.140,       38.300,        1.000,   0.312035E+06,   0.437696E+06, 
   81,  357,    7,       64.280,       76.600,        1.000,   0.199878E+06,   0.242783E+06, 
   81,  357,    7,      128.560,      153.200,        1.000,   0.120806E+06,   0.133396E+06, 
   81,  357,    7,        0.000,        0.000,        1.000,   0.680059E+06,   0.569635E+05, 
   81,  357,    8,     -128.560,     -153.200,        1.000,   0.117651E+06,   0.981319E+05, 
   81,  357,    8,      -64.280,      -76.600,        1.000,   0.267241E+06,   0.212230E+06, 
   81,  357,    8,      -32.140,      -38.300,        1.000,   0.493152E+06,   0.350123E+06, 
   81,  357,    8,       32.140,       38.300,        1.000,   0.251329E+06,   0.473172E+06, 
   81,  357,    8,       64.280,       76.600,        1.000,   0.108547E+06,   0.158477E+06, 
   81,  357,    8,      128.560,      153.200,        1.000,   0.335127E+05,   0.434591E+05, 
   81,  357,    8,        0.000,        0.000,        1.000,   0.229410E+07,   0.824759E+06, 
   81,  357,    9,     -128.560,     -153.200,        1.000,   0.173174E+05,   0.151828E+05, 
   81,  357,    9,      -64.280,      -76.600,        1.000,   0.369640E+05,   0.290858E+05, 
   81,  357,    9,      -32.140,      -38.300,        1.000,   0.750967E+05,   0.500383E+05, 
   81,  357,    9,       32.140,       38.300,        1.000,   0.349553E+06,   0.490196E+06, 
   81,  357,    9,       64.280,       76.600,        1.000,   0.225129E+06,   0.272692E+06, 
   81,  357,    9,      128.560,      153.200,        1.000,   0.137401E+06,   0.151374E+06, 
   81,  357,    9,        0.000,        0.000,        1.000,   0.863601E+06,   0.138355E+06, 
   82,    8,    6,     -128.560,     -153.200,        1.000,   0.859841E+05,   0.764833E+05, 
   82,    8,    6,      -64.280,      -76.600,        1.000,   0.171208E+06,   0.137633E+06, 
   82,    8,    6,      -32.140,      -38.300,        1.000,   0.326306E+06,   0.225398E+06, 
   82,    8,    6,       32.140,       38.300,        1.000,   0.290983E+05,   0.632218E+05, 
   82,    8,    6,       64.280,       76.600,        1.000,   0.123453E+05,   0.177420E+05, 
   82,    8,    6,      128.560,      153.200,        1.000,   0.507582E+04,   0.602332E+04, 
   82,    8,    6,        0.000,        0.000,        1.000,   0.879310E+06,   0.575005E+06, 
   82,    8,    7,     -128.560,     -153.200,        1.000,   0.147515E+06,   0.135515E+06, 
   82,    8,    7,      -64.280,      -76.600,        1.000,   0.240922E+06,   0.206405E+06, 
   82,    8,    7,      -32.140,      -38.300,        1.000,   0.374884E+06,   0.292144E+06, 
   82,    8,    7,       32.140,       38.300,        1.000,   0.627650E+05,   0.108030E+06, 
   82,    8,    7,       64.280,       76.600,        1.000,   0.325396E+05,   0.431390E+05, 
   82,    8,    7,      128.560,      153.200,        1.000,   0.157847E+05,   0.182060E+05, 
   82,    8,    7,        0.000,        0.000,        1.000,   0.369871E+06,   0.529022E+06, 
   82,    8,    8,     -128.560,     -153.200,        1.000,   0.181295E+06,   0.166901E+06, 
   82,    8,    8,      -64.280,      -76.600,        1.000,   0.293455E+06,   0.251415E+06, 
   82,    8,    8,      -32.140,      -38.300,        1.000,   0.470782E+06,   0.358039E+06, 
   82,    8,    8,       32.140,       38.300,        1.000,   0.269139E+05,   0.482692E+05, 
   82,    8,    8,       64.280,       76.600,        1.000,   0.142555E+05,   0.186918E+05, 
   82,    8,    8,      128.560,      153.200,        1.000,   0.709475E+04,   0.815611E+04, 
   82,    8,    8,        0.000,        0.000,        1.000,   0.810168E+06,   0.726658E+06, 
   82,    8,    9,     -128.560,     -153.200,        1.000,   0.144322E+06,   0.132785E+06, 
   82,    8,    9,      -64.280,      -76.600,        1.000,   0.233135E+06,   0.200471E+06, 
   82,    8,    9,      -32.140,      -38.300,        1.000,   0.356775E+06,   0.280976E+06, 
   82,    8,    9,       32.140,       38.300,        1.000,   0.513567E+05,   0.879908E+05, 
   82,    8,    9,       64.280,       76.600,        1.000,   0.266739E+05,   0.353686E+05, 
   82,    8,    9,      128.560,      153.200,        1.000,   0.128982E+05,   0.148912E+05, 
   82,    8,    9,        0.000,        0.000,        1.000,   0.286484E+06,   0.492813E+06, 
   82,   13,   16,     -128.560,     -153.200,        1.000,   0.958152E+03,   0.812380E+03, 
   82,   13,   16,      -64.280,      -76.600,        1.000,   0.246386E+04,   0.182769E+04, 
   82,   13,   16,      -32.140,      -38.300,        1.000,   0.593023E+04,   0.359272E+04, 
   82,   13,   16,       32.140,       38.300,        1.000,   0.110927E+06,   0.160678E+06, 
   82,   13,   16,       64.280,       76.600,        1.000,   0.658530E+05,   0.829058E+05, 
   82,   13,   16,      128.560,      153.200,        1.000,   0.356641E+05,   0.403272E+05, 
   82,   13,   16,        0.000,        0.000,        1.000,   0.241046E+06,   0.124033E+05, 
   82,   13,   17,     -128.560,     -153.200,        1.000,   0.117252E+04,   0.997141E+03, 
   82,   13,   17,      -64.280,      -76.600,        1.000,   0.297680E+04,   0.221692E+04, 
   82,   13,   17,      -32.140,      -38.300,        1.000,   0.705518E+04,   0.431439E+04, 
   82,   13,   17,       32.140,       38.300,        1.000,   0.135261E+06,   0.196331E+06, 
   82,   13,   17,       64.280,       76.600,        1.000,   0.802210E+05,   0.101109E+06, 
   82,   13,   17,      128.560,      153.200,        1.000,   0.434515E+05,   0.491265E+05, 
   82,   13,   17,        0.000,        0.000,        1.000,   0.294856E+06,   0.145297E+05, 
   82,   13,   18,     -128.560,     -153.200,        1.000,   0.199449E+04,   0.173668E+04, 
   82,   13,   18,      -64.280,      -76.600,        1.000,   0.441286E+04,   0.343456E+04, 
   82,   13,   18,      -32.140,      -38.300,        1.000,   0.918418E+04,   0.604765E+04, 
   82,   13,   18,       32.140,       38.300,        1.000,   0.131036E+06,   0.180587E+06, 
   82,   13,   18,       64.280,       76.600,        1.000,   0.847065E+05,   0.102708E+06, 
   82,   13,   18,      128.560,      153.200,        1.000,   0.513080E+05,   0.566889E+05, 
   82,   13,   18,        0.000,        0.000,        1.000,   0.269281E+06,   0.171141E+05, 
   82,   13,   19,     -128.560,     -153.200,        1.000,   0.146169E+04,   0.127733E+04, 
   82,   13,   19,      -64.280,      -76.600,        1.000,   0.316187E+04,   0.248177E+04, 
   82,   13,   19,      -32.140,      -38.300,        1.000,   0.642665E+04,   0.428899E+04, 
   82,   13,   19,       32.140,       38.300,        1.000,   0.106191E+06,   0.154914E+06, 
   82,   13,   19,       64.280,       76.600,        1.000,   0.663587E+05,   0.812850E+05, 
   82,   13,   19,      128.560,      153.200,        1.000,   0.397224E+05,   0.439039E+05, 
   82,   13,   19,        0.000,        0.000,        1.000,   0.261193E+06,   0.117498E+05, 
   82,   29,    6,     -128.560,     -153.200,        1.000,   0.141163E+05,   0.124836E+05, 
   82,   29,    6,      -64.280,      -76.600,        1.000,   0.281821E+05,   0.226608E+05, 
   82,   29,    6,      -32.140,      -38.300,        1.000,   0.545555E+05,   0.372568E+05, 
   82,   29,    6,       32.140,       38.300,        1.000,   0.231047E+04,   0.494350E+04, 
   82,   29,    6,       64.280,       76.600,        1.000,   0.101256E+04,   0.143617E+04, 
   82,   29,    6,      128.560,      153.200,        1.000,   0.421154E+03,   0.500225E+03, 
   82,   29,    6,        0.000,        0.000,        1.000,   0.129838E+06,   0.100072E+06, 
   82,   29,    7,     -128.560,     -153.200,        1.000,   0.185299E+05,   0.161899E+05, 
   82,   29,    7,      -64.280,      -76.600,        1.000,   0.381648E+05,   0.305093E+05, 
   82,   29,    7,      -32.140,      -38.300,        1.000,   0.747139E+05,   0.507057E+05, 
