RLINEv1_2   
SOURCE FILE: IF2009_Source_INF.txt (1 Sources)
RECEPTOR FILE: IF2009_Receptors_INF.txt (7 Receptors)
SURFACE FILE: IF2009_Case1235.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_IF,
    9,    1,    2,       18.000,        0.000,        1.500,   0.687323E+05, 
    9,    1,    2,       36.000,        0.000,        1.500,   0.483359E+05, 
    9,    1,    2,       48.000,        0.000,        1.500,   0.397710E+05, 
    9,    1,    2,       66.000,        0.000,        1.500,   0.309874E+05, 
    9,    1,    2,       90.000,        0.000,        1.500,   0.236523E+05, 
    9,    1,    2,      120.000,        0.000,        1.500,   0.181258E+05, 
    9,    1,    2,      180.000,        0.000,        1.500,   0.122169E+05, 
    9,    1,    3,       18.000,        0.000,        1.500,   0.712212E+05, 
    9,    1,    3,       36.000,        0.000,        1.500,   0.498907E+05, 
    9,    1,    3,       48.000,        0.000,        1.500,   0.408365E+05, 
    9,    1,    3,       66.000,        0.000,        1.500,   0.316019E+05, 
    9,    1,    3,       90.000,        0.000,        1.500,   0.239093E+05, 
    9,    1,    3,      120.000,        0.000,        1.500,   0.181321E+05, 
    9,    1,    3,      180.000,        0.000,        1.500,   0.119948E+05, 
    9,    1,    4,       18.000,        0.000,        1.500,   0.759310E+05, 
    9,    1,    4,       36.000,        0.000,        1.500,   0.531585E+05, 
    9,    1,    4,       48.000,        0.000,        1.500,   0.435401E+05, 
    9,    1,    4,       66.000,        0.000,        1.500,   0.336400E+05, 
    9,    1,    4,       90.000,        0.000,        1.500,   0.254932E+05, 
    9,    1,    4,      120.000,        0.000,        1.500,   0.193237E+05, 
    9,    1,    4,      180.000,        0.000,        1.500,   0.127776E+05, 
    9,    1,    5,       18.000,        0.000,        1.500,   0.635180E+05, 
    9,    1,    5,       36.000,        0.000,        1.500,   0.449348E+05, 
    9,    1,    5,       48.000,        0.000,        1.500,   0.370875E+05, 
    9,    1,    5,       66.000,        0.000,        1.500,   0.289203E+05, 
    9,    1,    5,       90.000,        0.000,        1.500,   0.220945E+05, 
    9,    1,    5,      120.000,        0.000,        1.500,   0.168913E+05, 
    9,    1,    5,      180.000,        0.000,        1.500,   0.113198E+05, 
    9,    1,    6,       18.000,        0.000,        1.500,   0.707518E+05, 
    9,    1,    6,       36.000,        0.000,        1.500,   0.501144E+05, 
    9,    1,    6,       48.000,        0.000,        1.500,   0.413964E+05, 
    9,    1,    6,       66.000,        0.000,        1.500,   0.322709E+05, 
    9,    1,    6,       90.000,        0.000,        1.500,   0.246158E+05, 
    9,    1,    6,      120.000,        0.000,        1.500,   0.187700E+05, 
    9,    1,    6,      180.000,        0.000,        1.500,   0.125100E+05, 
    9,    1,    7,       18.000,        0.000,        1.500,   0.516182E+05, 
    9,    1,    7,       36.000,        0.000,        1.500,   0.358315E+05, 
    9,    1,    7,       48.000,        0.000,        1.500,   0.291645E+05, 
    9,    1,    7,       66.000,        0.000,        1.500,   0.224434E+05, 
    9,    1,    7,       90.000,        0.000,        1.500,   0.169506E+05, 
    9,    1,    7,      120.000,        0.000,        1.500,   0.128324E+05, 
    9,    1,    7,      180.000,        0.000,        1.500,   0.848208E+04, 
    9,    1,    8,       18.000,        0.000,        1.500,   0.453363E+05, 
    9,    1,    8,       36.000,        0.000,        1.500,   0.314989E+05, 
    9,    1,    8,       48.000,        0.000,        1.500,   0.256462E+05, 
    9,    1,    8,       66.000,        0.000,        1.500,   0.197684E+05, 
    9,    1,    8,       90.000,        0.000,        1.500,   0.149201E+05, 
    9,    1,    8,      120.000,        0.000,        1.500,   0.113025E+05, 
    9,    1,    8,      180.000,        0.000,        1.500,   0.748218E+04, 
    9,    1,    9,       18.000,        0.000,        1.500,   0.475825E+05, 
    9,    1,    9,       36.000,        0.000,        1.500,   0.334628E+05, 
    9,    1,    9,       48.000,        0.000,        1.500,   0.274841E+05, 
    9,    1,    9,       66.000,        0.000,        1.500,   0.213351E+05, 
    9,    1,    9,       90.000,        0.000,        1.500,   0.162165E+05, 
    9,    1,    9,      120.000,        0.000,        1.500,   0.123342E+05, 
    9,    1,    9,      180.000,        0.000,        1.500,   0.820090E+04, 
    9,    1,   11,       18.000,        0.000,        1.500,   0.554263E+05, 
    9,    1,   11,       36.000,        0.000,        1.500,   0.387411E+05, 
    9,    1,   11,       48.000,        0.000,        1.500,   0.316504E+05, 
    9,    1,   11,       66.000,        0.000,        1.500,   0.243985E+05, 
    9,    1,   11,       90.000,        0.000,        1.500,   0.184572E+05, 
    9,    1,   11,      120.000,        0.000,        1.500,   0.139733E+05, 
    9,    1,   11,      180.000,        0.000,        1.500,   0.921462E+04, 
    9,    1,   12,       18.000,        0.000,        1.500,   0.544889E+05, 
    9,    1,   12,       36.000,        0.000,        1.500,   0.384045E+05, 
    9,    1,   12,       48.000,        0.000,        1.500,   0.315607E+05, 
    9,    1,   12,       66.000,        0.000,        1.500,   0.244734E+05, 
    9,    1,   12,       90.000,        0.000,        1.500,   0.186150E+05, 
    9,    1,   12,      120.000,        0.000,        1.500,   0.141545E+05, 
    9,    1,   12,      180.000,        0.000,        1.500,   0.940288E+04, 
    9,    2,    2,       18.000,        0.000,        1.500,   0.105339E+06, 
    9,    2,    2,       36.000,        0.000,        1.500,   0.518714E+05, 
    9,    2,    2,       48.000,        0.000,        1.500,   0.358063E+05, 
    9,    2,    2,       66.000,        0.000,        1.500,   0.229255E+05, 
    9,    2,    2,       90.000,        0.000,        1.500,   0.144132E+05, 
    9,    2,    2,      120.000,        0.000,        1.500,   0.916496E+04, 
    9,    2,    2,      180.000,        0.000,        1.500,   0.468602E+04, 
    9,    2,    3,       18.000,        0.000,        1.500,   0.131973E+06, 
    9,    2,    3,       36.000,        0.000,        1.500,   0.661883E+05, 
    9,    2,    3,       48.000,        0.000,        1.500,   0.457059E+05, 
    9,    2,    3,       66.000,        0.000,        1.500,   0.291915E+05, 
    9,    2,    3,       90.000,        0.000,        1.500,   0.183049E+05, 
    9,    2,    3,      120.000,        0.000,        1.500,   0.116177E+05, 
    9,    2,    3,      180.000,        0.000,        1.500,   0.592679E+04, 
    9,    2,    4,       18.000,        0.000,        1.500,   0.132194E+06, 
    9,    2,    4,       36.000,        0.000,        1.500,   0.563060E+05, 
    9,    2,    4,       48.000,        0.000,        1.500,   0.362818E+05, 
    9,    2,    4,       66.000,        0.000,        1.500,   0.216251E+05, 
    9,    2,    4,       90.000,        0.000,        1.500,   0.127630E+05, 
    9,    2,    4,      120.000,        0.000,        1.500,   0.771911E+04, 
    9,    2,    4,      180.000,        0.000,        1.500,   0.374845E+04, 
    9,    2,    9,       18.000,        0.000,        1.500,   0.103137E+06, 
    9,    2,    9,       36.000,        0.000,        1.500,   0.461589E+05, 
    9,    2,    9,       48.000,        0.000,        1.500,   0.307171E+05, 
    9,    2,    9,       66.000,        0.000,        1.500,   0.189322E+05, 
    9,    2,    9,       90.000,        0.000,        1.500,   0.114964E+05, 
    9,    2,    9,      120.000,        0.000,        1.500,   0.707562E+04, 
    9,    2,    9,      180.000,        0.000,        1.500,   0.343028E+04, 
    9,    2,   10,       18.000,        0.000,        1.500,   0.107243E+06, 
    9,    2,   10,       36.000,        0.000,        1.500,   0.678396E+05, 
    9,    2,   10,       48.000,        0.000,        1.500,   0.520846E+05, 
    9,    2,   10,       66.000,        0.000,        1.500,   0.372937E+05, 
    9,    2,   10,       90.000,        0.000,        1.500,   0.260092E+05, 
    9,    2,   10,      120.000,        0.000,        1.500,   0.181403E+05, 
    9,    2,   10,      180.000,        0.000,        1.500,   0.104804E+05, 
    9,    2,   11,       18.000,        0.000,        1.500,   0.117068E+06, 
    9,    2,   11,       36.000,        0.000,        1.500,   0.749931E+05, 
    9,    2,   11,       48.000,        0.000,        1.500,   0.574859E+05, 
    9,    2,   11,       66.000,        0.000,        1.500,   0.408425E+05, 
    9,    2,   11,       90.000,        0.000,        1.500,   0.281493E+05, 
    9,    2,   11,      120.000,        0.000,        1.500,   0.193752E+05, 
    9,    2,   11,      180.000,        0.000,        1.500,   0.109770E+05, 
    9,    3,    1,       18.000,        0.000,        1.500,   0.131839E+06, 
    9,    3,    1,       36.000,        0.000,        1.500,   0.982537E+05, 
    9,    3,    1,       48.000,        0.000,        1.500,   0.853544E+05, 
    9,    3,    1,       66.000,        0.000,        1.500,   0.710926E+05, 
    9,    3,    1,       90.000,        0.000,        1.500,   0.581235E+05, 
    9,    3,    1,      120.000,        0.000,        1.500,   0.474981E+05, 
