Idaho Falls Measured Cross-wind Integrated Concetrations,,,
,,,
Test,Bag,x (m),C (ppb)
1,2,18,
1,2,36,
1,2,48,7.576
1,2,66,6.1927
1,2,90,4.6067
1,2,120,3.9061
1,2,180,
1,3,18,14.35815
1,3,36,9.72355
1,3,48,8.0884
1,3,66,6.8551
1,3,90,4.9386
1,3,120,3.8618
1,3,180,2.6139
1,4,18,14.17085
1,4,36,9.82695
1,4,48,9.01005
1,4,66,7.3213
1,4,90,5.9102
1,4,120,4.0761
1,4,180,2.2762
1,5,18,11.7864
1,5,36,8.36415
1,5,48,8.0153
1,5,66,7.6863
1,5,90,5.18825
1,5,120,3.83085
1,5,180,2.7465
1,6,18,12.78895
1,6,36,9.42645
1,6,48,7.7286
1,6,66,6.325
1,6,90,4.8111
1,6,120,3.69005
1,6,180,2.5696
1,7,18,10.1395
1,7,36,8.08545
1,7,48,6.2124
1,7,66,5.0732
1,7,90,4.489
1,7,120,2.96
1,7,180,2.0741
1,8,18,9.30595
1,8,36,6.5298
1,8,48,5.68
1,8,66,4.5719
1,8,90,3.67
1,8,120,2.6521
1,8,180,1.6994
1,9,18,10.5852
1,9,36,6.87255
1,9,48,6.04325
1,9,66,4.80145
1,9,90,3.5786
1,9,120,2.843
1,9,180,1.7914
1,11,18,11.33945
1,11,36,7.2421
1,11,48,6.24245
1,11,66,4.8346
1,11,90,3.89095
1,11,120,2.71365
1,11,180,1.9446
1,12,18,10.8695
1,12,36,7.1587
1,12,48,5.33895
1,12,66,4.394
1,12,90,3.51195
1,12,120,2.59125
1,12,180,
2,2,18,15.78285
2,2,36,6.9975
2,2,48,5.3243
2,2,66,2.85165
2,2,90,1.6995
2,2,120,0.90785
2,2,180,0.5605
2,3,18,20.5816
2,3,36,8.4751
2,3,48,6.49325
2,3,66,3.66625
2,3,90,2.0203
2,3,120,1.1531
2,3,180,0.6015
2,4,18,20.4691
2,4,36,9.2195
2,4,48,6.4574
2,4,66,3.98415
2,4,90,2.6482
2,4,120,1.6217
2,4,180,0.7939
2,9,18,16.4233
2,9,36,6.08155
2,9,48,4.32195
2,9,66,2.0264
2,9,90,
2,9,120,0.8695
2,9,180,0.3064
2,10,18,20.6008
2,10,36,12.21665
2,10,48,10.266
2,10,66,6.7593
2,10,90,4.7181
2,10,120,2.74015
2,10,180,1.25465
2,11,18,21.51885
2,11,36,11.1787
2,11,48,9.11295
2,11,66,6.8745
2,11,90,4.0758
2,11,120,3.0015
2,11,180,1.4142
3,1,18,13.374
3,1,36,12.0606
3,1,48,9.5224
3,1,66,7.561
3,1,90,6.5837
3,1,120,5.18535
3,1,180,3.6395
3,2,18,15.37965
3,2,36,11.0574
3,2,48,9.8683
3,2,66,8.0441
3,2,90,6.79645
3,2,120,5.4337
3,2,180,4.26125
3,3,18,14.245
3,3,36,10.27925
3,3,48,8.5067
3,3,66,6.638
3,3,90,5.91905
3,3,120,4.5442
3,3,180,3.8697
3,4,18,14.7833
3,4,36,10.47935
3,4,48,9.02405
3,4,66,7.1657
3,4,90,6.20725
3,4,120,4.8014
3,4,180,4.05525
3,5,18,14.5139
3,5,36,10.1713
3,5,48,8.608
3,5,66,7.1597
3,5,90,5.87105
3,5,120,4.818
3,5,180,3.65485
3,6,18,15.0882
3,6,36,10.3053
3,6,48,8.9992
3,6,66,7.5314
3,6,90,6.32215
3,6,120,5.0316
3,6,180,4.1867
3,7,18,14.40085
3,7,36,10.33625
3,7,48,8.8855
3,7,66,7.03235
3,7,90,5.93725
3,7,120,4.9677
3,7,180,3.68625
3,8,18,14.08275
3,8,36,10.40815
3,8,48,8.41165
3,8,66,6.5281
3,8,90,5.3583
3,8,120,4.56565
3,8,180,3.51865
5,1,18,23.8621
5,1,36,18.40645
5,1,48,15.46975
5,1,66,13.1715
5,1,90,10.55585
5,1,120,9.2302
5,1,180,7.4602
5,2,18,27.83795
5,2,36,23.456
5,2,48,20.9892
5,2,66,20.1817
5,2,90,15.40865
5,2,120,12.5151
5,2,180,9.76565
5,3,18,36.97975
5,3,36,29.99365
5,3,48,26.7223
5,3,66,24.51495
5,3,90,21.41785
5,3,120,16.763
5,3,180,11.80195
5,4,18,60.83085
5,4,36,43.653
5,4,48,40.91755
5,4,66,31.9542
5,4,90,29.3308
5,4,120,24.6606
5,4,180,13.43875
5,5,18,101.8105
5,5,36,87.5674
5,5,48,69.5686
5,5,66,62.2789
5,5,90,48.86115
5,5,120,54.3006
5,5,180,31.17295
5,9,18,45.0276
5,9,36,43.3728
5,9,48,44.4088
5,9,66,42.44135
5,9,90,33.0591
5,9,120,33.9474
5,9,180,22.5314
5,10,18,62.7965
5,10,36,54.422
5,10,48,53.06725
5,10,66,53.5899
5,10,90,48.4602
5,10,120,32.2502
5,10,180,30.4777
