RLINEv1_2   
SOURCE FILE: Ral2006_Source.txt (8 Sources)
RECEPTOR FILE: Ral2006_Receptors.txt (2 Receptors)
SURFACE FILE: Ral_2006_NO.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_RFS,
    6,    1,    6,        9.010,       21.160,        2.000,   0.192921E+07, 
    6,    1,    6,       12.930,       30.360,        2.000,   0.156066E+07, 
    6,    1,    6,        9.010,       21.160,        2.000,   0.165821E+07, 
    6,    1,    6,       12.930,       30.360,        2.000,   0.131426E+07, 
    6,    1,    6,        9.010,       21.160,        2.000,   0.176152E+07, 
    6,    1,    6,       12.930,       30.360,        2.000,   0.142726E+07, 
    6,    1,    7,        9.010,       21.160,        2.000,   0.142923E+07, 
    6,    1,    7,       12.930,       30.360,        2.000,   0.101584E+07, 
    6,    1,    7,        9.010,       21.160,        2.000,   0.115004E+07, 
    6,    1,    7,       12.930,       30.360,        2.000,   0.828639E+06, 
    6,    1,    7,        9.010,       21.160,        2.000,   0.957846E+06, 
    6,    1,    7,       12.930,       30.360,        2.000,   0.695542E+06, 
    6,    1,    7,        9.010,       21.160,        2.000,   0.104348E+07, 
    6,    1,    7,       12.930,       30.360,        2.000,   0.788826E+06, 
    6,    1,    7,        9.010,       21.160,        2.000,   0.109918E+07, 
    6,    1,    7,       12.930,       30.360,        2.000,   0.772008E+06, 
    6,    1,    7,        9.010,       21.160,        2.000,   0.111710E+07, 
    6,    1,    7,       12.930,       30.360,        2.000,   0.737756E+06, 
    6,    1,    8,        9.010,       21.160,        2.000,   0.128095E+07, 
    6,    1,    8,       12.930,       30.360,        2.000,   0.942057E+06, 
    6,    1,    8,        9.010,       21.160,        2.000,   0.133439E+07, 
    6,    1,    8,       12.930,       30.360,        2.000,   0.909231E+06, 
    6,    1,    8,        9.010,       21.160,        2.000,   0.131098E+07, 
    6,    1,    8,       12.930,       30.360,        2.000,   0.883558E+06, 
    6,    1,    8,        9.010,       21.160,        2.000,   0.129061E+07, 
    6,    1,    8,       12.930,       30.360,        2.000,   0.914767E+06, 
    6,    1,    8,        9.010,       21.160,        2.000,   0.742185E+06, 
    6,    1,    8,       12.930,       30.360,        2.000,   0.457135E+06, 
    6,    1,    8,        9.010,       21.160,        2.000,   0.641528E+06, 
    6,    1,    8,       12.930,       30.360,        2.000,   0.388802E+06, 
    6,    1,    9,        9.010,       21.160,        2.000,   0.799999E+06, 
    6,    1,    9,       12.930,       30.360,        2.000,   0.479998E+06, 
    6,    1,    9,        9.010,       21.160,        2.000,   0.889584E+06, 
    6,    1,    9,       12.930,       30.360,        2.000,   0.612446E+06, 
    6,    1,    9,        9.010,       21.160,        2.000,   0.742645E+06, 
