RLINEv1_2   
SOURCE FILE: Source_Example.txt (8 Sources)
RECEPTOR FILE: Receptor_Example.txt (196 Receptors)
SURFACE FILE: Met_Example.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_G1, C_G2,
   12,  264,    1,       10.000,       10.000,        1.500,   0.170076E+07,   0.677934E+06, 
   12,  264,    1,       10.000,       20.000,        1.500,   0.169914E+07,   0.422169E+06, 
   12,  264,    1,       10.000,       30.000,        1.500,   0.169743E+07,   0.312896E+06, 
   12,  264,    1,       10.000,       40.000,        1.500,   0.169563E+07,   0.245507E+06, 
   12,  264,    1,       10.000,       50.000,        1.500,   0.169374E+07,   0.199859E+06, 
   12,  264,    1,       10.000,       75.000,        1.500,   0.168855E+07,   0.132335E+06, 
   12,  264,    1,       10.000,      100.000,        1.500,   0.168255E+07,   0.958808E+05, 
   12,  264,    1,       20.000,       10.000,        1.500,   0.625196E+06,   0.677917E+06, 
   12,  264,    1,       20.000,       20.000,        1.500,   0.624026E+06,   0.422123E+06, 
   12,  264,    1,       20.000,       30.000,        1.500,   0.622772E+06,   0.312810E+06, 
   12,  264,    1,       20.000,       40.000,        1.500,   0.621465E+06,   0.245454E+06, 
   12,  264,    1,       20.000,       50.000,        1.500,   0.620089E+06,   0.199784E+06, 
   12,  264,    1,       20.000,       75.000,        1.500,   0.616332E+06,   0.132262E+06, 
   12,  264,    1,       20.000,      100.000,        1.500,   0.612010E+06,   0.957761E+05, 
   12,  264,    1,       30.000,       10.000,        1.500,   0.378320E+06,   0.677878E+06, 
   12,  264,    1,       30.000,       20.000,        1.500,   0.377477E+06,   0.422090E+06, 
   12,  264,    1,       30.000,       30.000,        1.500,   0.376566E+06,   0.312782E+06, 
   12,  264,    1,       30.000,       40.000,        1.500,   0.375660E+06,   0.245392E+06, 
   12,  264,    1,       30.000,       50.000,        1.500,   0.374680E+06,   0.199713E+06, 
   12,  264,    1,       30.000,       75.000,        1.500,   0.371976E+06,   0.132184E+06, 
   12,  264,    1,       30.000,      100.000,        1.500,   0.368983E+06,   0.956449E+05, 
   12,  264,    1,       40.000,       10.000,        1.500,   0.268547E+06,   0.677822E+06, 
   12,  264,    1,       40.000,       20.000,        1.500,   0.267974E+06,   0.422042E+06, 
   12,  264,    1,       40.000,       30.000,        1.500,   0.267310E+06,   0.312717E+06, 
   12,  264,    1,       40.000,       40.000,        1.500,   0.266684E+06,   0.245313E+06, 
   12,  264,    1,       40.000,       50.000,        1.500,   0.265994E+06,   0.199644E+06, 
   12,  264,    1,       40.000,       75.000,        1.500,   0.264147E+06,   0.132048E+06, 
   12,  264,    1,       40.000,      100.000,        1.500,   0.262102E+06,   0.954798E+05, 
   12,  264,    1,       50.000,       10.000,        1.500,   0.207568E+06,   0.677752E+06, 
   12,  264,    1,       50.000,       20.000,        1.500,   0.207172E+06,   0.421947E+06, 
   12,  264,    1,       50.000,       30.000,        1.500,   0.206762E+06,   0.312604E+06, 
   12,  264,    1,       50.000,       40.000,        1.500,   0.206294E+06,   0.245174E+06, 
   12,  264,    1,       50.000,       50.000,        1.500,   0.205824E+06,   0.199533E+06, 
   12,  264,    1,       50.000,       75.000,        1.500,   0.204580E+06,   0.131931E+06, 
   12,  264,    1,       50.000,      100.000,        1.500,   0.203196E+06,   0.953263E+05, 
   12,  264,    1,       75.000,       10.000,        1.500,   0.132336E+06,   0.677523E+06, 
   12,  264,    1,       75.000,       20.000,        1.500,   0.132178E+06,   0.421710E+06, 
   12,  264,    1,       75.000,       30.000,        1.500,   0.132034E+06,   0.312330E+06, 
   12,  264,    1,       75.000,       40.000,        1.500,   0.131869E+06,   0.244918E+06, 
   12,  264,    1,       75.000,       50.000,        1.500,   0.131676E+06,   0.199208E+06, 
   12,  264,    1,       75.000,       75.000,        1.500,   0.131228E+06,   0.131563E+06, 
   12,  264,    1,       75.000,      100.000,        1.500,   0.130655E+06,   0.948377E+05, 
   12,  264,    1,      100.000,       10.000,        1.500,   0.968964E+05,   0.677182E+06, 
   12,  264,    1,      100.000,       20.000,        1.500,   0.968502E+05,   0.421327E+06, 
   12,  264,    1,      100.000,       30.000,        1.500,   0.967923E+05,   0.311966E+06, 
   12,  264,    1,      100.000,       40.000,        1.500,   0.967226E+05,   0.244520E+06, 
   12,  264,    1,      100.000,       50.000,        1.500,   0.966407E+05,   0.198761E+06, 
   12,  264,    1,      100.000,       75.000,        1.500,   0.964071E+05,   0.131001E+06, 
   12,  264,    1,      100.000,      100.000,        1.500,   0.961416E+05,   0.941791E+05, 
   12,  264,    1,      -10.000,       10.000,        1.500,   0.482442E+07,   0.677955E+06, 
   12,  264,    1,      -10.000,       20.000,        1.500,   0.482160E+07,   0.422182E+06, 
   12,  264,    1,      -10.000,       30.000,        1.500,   0.481864E+07,   0.312898E+06, 
   12,  264,    1,      -10.000,       40.000,        1.500,   0.481549E+07,   0.245575E+06, 
   12,  264,    1,      -10.000,       50.000,        1.500,   0.481220E+07,   0.199928E+06, 
   12,  264,    1,      -10.000,       75.000,        1.500,   0.480293E+07,   0.132462E+06, 
   12,  264,    1,      -10.000,      100.000,        1.500,   0.479228E+07,   0.960577E+05, 
   12,  264,    1,      -20.000,       10.000,        1.500,   0.330638E+07,   0.677941E+06, 
   12,  264,    1,      -20.000,       20.000,        1.500,   0.330272E+07,   0.422205E+06, 
   12,  264,    1,      -20.000,       30.000,        1.500,   0.329902E+07,   0.312929E+06, 
   12,  264,    1,      -20.000,       40.000,        1.500,   0.329494E+07,   0.245555E+06, 
   12,  264,    1,      -20.000,       50.000,        1.500,   0.329070E+07,   0.199952E+06, 
   12,  264,    1,      -20.000,       75.000,        1.500,   0.327882E+07,   0.132505E+06, 
   12,  264,    1,      -20.000,      100.000,        1.500,   0.326511E+07,   0.961303E+05, 
   12,  264,    1,      -30.000,       10.000,        1.500,   0.261987E+07,   0.677918E+06, 
   12,  264,    1,      -30.000,       20.000,        1.500,   0.261540E+07,   0.422170E+06, 
   12,  264,    1,      -30.000,       30.000,        1.500,   0.261072E+07,   0.312915E+06, 
   12,  264,    1,      -30.000,       40.000,        1.500,   0.260557E+07,   0.245581E+06, 
   12,  264,    1,      -30.000,       50.000,        1.500,   0.260026E+07,   0.199972E+06, 
   12,  264,    1,      -30.000,       75.000,        1.500,   0.258546E+07,   0.132544E+06, 
   12,  264,    1,      -30.000,      100.000,        1.500,   0.256820E+07,   0.961753E+05, 
   12,  264,    1,      -40.000,       10.000,        1.500,   0.217264E+07,   0.677874E+06, 
   12,  264,    1,      -40.000,       20.000,        1.500,   0.216720E+07,   0.422144E+06, 
   12,  264,    1,      -40.000,       30.000,        1.500,   0.216142E+07,   0.312904E+06, 
   12,  264,    1,      -40.000,       40.000,        1.500,   0.215521E+07,   0.245566E+06, 
   12,  264,    1,      -40.000,       50.000,        1.500,   0.214870E+07,   0.199935E+06, 
   12,  264,    1,      -40.000,       75.000,        1.500,   0.213066E+07,   0.132536E+06, 
   12,  264,    1,      -40.000,      100.000,        1.500,   0.210942E+07,   0.962071E+05, 
   12,  264,    1,      -50.000,       10.000,        1.500,   0.185018E+07,   0.677830E+06, 
   12,  264,    1,      -50.000,       20.000,        1.500,   0.184364E+07,   0.422112E+06, 
   12,  264,    1,      -50.000,       30.000,        1.500,   0.183667E+07,   0.312831E+06, 
   12,  264,    1,      -50.000,       40.000,        1.500,   0.182932E+07,   0.245519E+06, 
   12,  264,    1,      -50.000,       50.000,        1.500,   0.182153E+07,   0.199920E+06, 
   12,  264,    1,      -50.000,       75.000,        1.500,   0.179994E+07,   0.132573E+06, 
   12,  264,    1,      -50.000,      100.000,        1.500,   0.177464E+07,   0.962376E+05, 
   12,  264,    1,      -75.000,       10.000,        1.500,   0.131473E+07,   0.677629E+06, 
   12,  264,    1,      -75.000,       20.000,        1.500,   0.130534E+07,   0.421917E+06, 
   12,  264,    1,      -75.000,       30.000,        1.500,   0.129542E+07,   0.312670E+06, 
   12,  264,    1,      -75.000,       40.000,        1.500,   0.128494E+07,   0.245338E+06, 
