RLINEv1_2   
SOURCE FILE: Source_Example.txt (8 Sources)
RECEPTOR FILE: Receptor_Example.txt (196 Receptors)
SURFACE FILE: Met_Example.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, # Hours, X-Coordinate, Y-Coordinate, Z-Coordinate, C_G1, C_G2,
   12,  264,   10,       10.000,       10.000,        1.500,   0.141742E+07,   0.145029E+07, 
   12,  264,   10,       10.000,       20.000,        1.500,   0.141772E+07,   0.924080E+06, 
   12,  264,   10,       10.000,       30.000,        1.500,   0.141797E+07,   0.706305E+06, 
   12,  264,   10,       10.000,       40.000,        1.500,   0.141817E+07,   0.569405E+06, 
   12,  264,   10,       10.000,       50.000,        1.500,   0.141836E+07,   0.474485E+06, 
   12,  264,   10,       10.000,       75.000,        1.500,   0.141870E+07,   0.329826E+06, 
   12,  264,   10,       10.000,      100.000,        1.500,   0.141886E+07,   0.248508E+06, 
   12,  264,   10,       20.000,       10.000,        1.500,   0.943489E+06,   0.145024E+07, 
   12,  264,   10,       20.000,       20.000,        1.500,   0.943883E+06,   0.924021E+06, 
   12,  264,   10,       20.000,       30.000,        1.500,   0.944236E+06,   0.706220E+06, 
   12,  264,   10,       20.000,       40.000,        1.500,   0.944551E+06,   0.569286E+06, 
   12,  264,   10,       20.000,       50.000,        1.500,   0.944837E+06,   0.474311E+06, 
   12,  264,   10,       20.000,       75.000,        1.500,   0.945435E+06,   0.329489E+06, 
   12,  264,   10,       20.000,      100.000,        1.500,   0.945877E+06,   0.248089E+06, 
   12,  264,   10,       30.000,       10.000,        1.500,   0.731528E+06,   0.145016E+07, 
   12,  264,   10,       30.000,       20.000,        1.500,   0.731993E+06,   0.923895E+06, 
   12,  264,   10,       30.000,       30.000,        1.500,   0.732476E+06,   0.706092E+06, 
   12,  264,   10,       30.000,       40.000,        1.500,   0.732885E+06,   0.569170E+06, 
   12,  264,   10,       30.000,       50.000,        1.500,   0.733242E+06,   0.474117E+06, 
   12,  264,   10,       30.000,       75.000,        1.500,   0.734085E+06,   0.329204E+06, 
   12,  264,   10,       30.000,      100.000,        1.500,   0.734760E+06,   0.247649E+06, 
   12,  264,   10,       40.000,       10.000,        1.500,   0.592431E+06,   0.145005E+07, 
   12,  264,   10,       40.000,       20.000,        1.500,   0.592971E+06,   0.923782E+06, 
   12,  264,   10,       40.000,       30.000,        1.500,   0.593539E+06,   0.705920E+06, 
   12,  264,   10,       40.000,       40.000,        1.500,   0.594036E+06,   0.568923E+06, 
   12,  264,   10,       40.000,       50.000,        1.500,   0.594470E+06,   0.473871E+06, 
   12,  264,   10,       40.000,       75.000,        1.500,   0.595548E+06,   0.328864E+06, 
   12,  264,   10,       40.000,      100.000,        1.500,   0.596402E+06,   0.247167E+06, 
   12,  264,   10,       50.000,       10.000,        1.500,   0.493271E+06,   0.144993E+07, 
   12,  264,   10,       50.000,       20.000,        1.500,   0.493901E+06,   0.923631E+06, 
   12,  264,   10,       50.000,       30.000,        1.500,   0.494533E+06,   0.705742E+06, 
   12,  264,   10,       50.000,       40.000,        1.500,   0.495124E+06,   0.568709E+06, 
   12,  264,   10,       50.000,       50.000,        1.500,   0.495631E+06,   0.473612E+06, 
   12,  264,   10,       50.000,       75.000,        1.500,   0.496868E+06,   0.328427E+06, 
   12,  264,   10,       50.000,      100.000,        1.500,   0.497942E+06,   0.246638E+06, 
   12,  264,   10,       75.000,       10.000,        1.500,   0.338093E+06,   0.144951E+07, 
   12,  264,   10,       75.000,       20.000,        1.500,   0.338919E+06,   0.923163E+06, 
   12,  264,   10,       75.000,       30.000,        1.500,   0.339680E+06,   0.705180E+06, 
   12,  264,   10,       75.000,       40.000,        1.500,   0.340400E+06,   0.568049E+06, 
   12,  264,   10,       75.000,       50.000,        1.500,   0.341109E+06,   0.472795E+06, 
   12,  264,   10,       75.000,       75.000,        1.500,   0.342727E+06,   0.327300E+06, 
   12,  264,   10,       75.000,      100.000,        1.500,   0.344133E+06,   0.245175E+06, 
   12,  264,   10,      100.000,       10.000,        1.500,   0.248895E+06,   0.144892E+07, 
   12,  264,   10,      100.000,       20.000,        1.500,   0.249827E+06,   0.922515E+06, 
   12,  264,   10,      100.000,       30.000,        1.500,   0.250707E+06,   0.704452E+06, 
   12,  264,   10,      100.000,       40.000,        1.500,   0.251549E+06,   0.567196E+06, 
   12,  264,   10,      100.000,       50.000,        1.500,   0.252362E+06,   0.471812E+06, 
   12,  264,   10,      100.000,       75.000,        1.500,   0.254244E+06,   0.325913E+06, 
   12,  264,   10,      100.000,      100.000,        1.500,   0.255911E+06,   0.243374E+06, 
   12,  264,   10,      -10.000,       10.000,        1.500,   0.145720E+07,   0.145036E+07, 
   12,  264,   10,      -10.000,       20.000,        1.500,   0.145725E+07,   0.924201E+06, 
   12,  264,   10,      -10.000,       30.000,        1.500,   0.145727E+07,   0.706491E+06, 
   12,  264,   10,      -10.000,       40.000,        1.500,   0.145724E+07,   0.569691E+06, 
   12,  264,   10,      -10.000,       50.000,        1.500,   0.145719E+07,   0.474814E+06, 
   12,  264,   10,      -10.000,       75.000,        1.500,   0.145691E+07,   0.330322E+06, 
   12,  264,   10,      -10.000,      100.000,        1.500,   0.145640E+07,   0.249231E+06, 
   12,  264,   10,      -20.000,       10.000,        1.500,   0.976797E+06,   0.145037E+07, 
   12,  264,   10,      -20.000,       20.000,        1.500,   0.976715E+06,   0.924217E+06, 
   12,  264,   10,      -20.000,       30.000,        1.500,   0.976613E+06,   0.706529E+06, 
   12,  264,   10,      -20.000,       40.000,        1.500,   0.976454E+06,   0.569748E+06, 
   12,  264,   10,      -20.000,       50.000,        1.500,   0.976267E+06,   0.474941E+06, 
   12,  264,   10,      -20.000,       75.000,        1.500,   0.975617E+06,   0.330574E+06, 
   12,  264,   10,      -20.000,      100.000,        1.500,   0.974734E+06,   0.249560E+06, 
   12,  264,   10,      -30.000,       10.000,        1.500,   0.765087E+06,   0.145035E+07, 
   12,  264,   10,      -30.000,       20.000,        1.500,   0.764912E+06,   0.924227E+06, 
   12,  264,   10,      -30.000,       30.000,        1.500,   0.764635E+06,   0.706588E+06, 
   12,  264,   10,      -30.000,       40.000,        1.500,   0.764349E+06,   0.569843E+06, 
   12,  264,   10,      -30.000,       50.000,        1.500,   0.764034E+06,   0.475036E+06, 
   12,  264,   10,      -30.000,       75.000,        1.500,   0.762997E+06,   0.330794E+06, 
   12,  264,   10,      -30.000,      100.000,        1.500,   0.761661E+06,   0.249848E+06, 
   12,  264,   10,      -40.000,       10.000,        1.500,   0.628938E+06,   0.145030E+07, 
   12,  264,   10,      -40.000,       20.000,        1.500,   0.628614E+06,   0.924203E+06, 
   12,  264,   10,      -40.000,       30.000,        1.500,   0.628180E+06,   0.706566E+06, 
   12,  264,   10,      -40.000,       40.000,        1.500,   0.627732E+06,   0.569848E+06, 
   12,  264,   10,      -40.000,       50.000,        1.500,   0.627288E+06,   0.475089E+06, 
   12,  264,   10,      -40.000,       75.000,        1.500,   0.625858E+06,   0.330926E+06, 
   12,  264,   10,      -40.000,      100.000,        1.500,   0.624042E+06,   0.250108E+06, 
   12,  264,   10,      -50.000,       10.000,        1.500,   0.532747E+06,   0.145023E+07, 
   12,  264,   10,      -50.000,       20.000,        1.500,   0.532272E+06,   0.924176E+06, 
   12,  264,   10,      -50.000,       30.000,        1.500,   0.531716E+06,   0.706569E+06, 
   12,  264,   10,      -50.000,       40.000,        1.500,   0.531120E+06,   0.569895E+06, 
   12,  264,   10,      -50.000,       50.000,        1.500,   0.530497E+06,   0.475155E+06, 
   12,  264,   10,      -50.000,       75.000,        1.500,   0.528655E+06,   0.331071E+06, 
   12,  264,   10,      -50.000,      100.000,        1.500,   0.526380E+06,   0.250346E+06, 
   12,  264,   10,      -75.000,       10.000,        1.500,   0.381138E+06,   0.144998E+07, 
   12,  264,   10,      -75.000,       20.000,        1.500,   0.380319E+06,   0.923985E+06, 
   12,  264,   10,      -75.000,       30.000,        1.500,   0.379380E+06,   0.706463E+06, 
   12,  264,   10,      -75.000,       40.000,        1.500,   0.378460E+06,   0.569856E+06, 
   12,  264,   10,      -75.000,       50.000,        1.500,   0.377488E+06,   0.475228E+06, 
   12,  264,   10,      -75.000,       75.000,        1.500,   0.374590E+06,   0.331301E+06, 
   12,  264,   10,      -75.000,      100.000,        1.500,   0.371229E+06,   0.250783E+06, 
   12,  264,   10,     -100.000,       10.000,        1.500,   0.291233E+06,   0.144958E+07, 
   12,  264,   10,     -100.000,       20.000,        1.500,   0.290129E+06,   0.923667E+06, 
   12,  264,   10,     -100.000,       30.000,        1.500,   0.288959E+06,   0.706215E+06, 
   12,  264,   10,     -100.000,       40.000,        1.500,   0.287694E+06,   0.569672E+06, 
   12,  264,   10,     -100.000,       50.000,        1.500,   0.286383E+06,   0.475129E+06, 
   12,  264,   10,     -100.000,       75.000,        1.500,   0.282739E+06,   0.331425E+06, 
   12,  264,   10,     -100.000,      100.000,        1.500,   0.278582E+06,   0.251089E+06, 
   12,  264,   10,       10.000,      -10.000,        1.500,   0.141680E+07,   0.138501E+07, 
   12,  264,   10,       10.000,      -20.000,        1.500,   0.141642E+07,   0.904622E+06, 
   12,  264,   10,       10.000,      -30.000,        1.500,   0.141603E+07,   0.705673E+06, 
   12,  264,   10,       10.000,      -40.000,        1.500,   0.141559E+07,   0.579981E+06, 
   12,  264,   10,       10.000,      -50.000,        1.500,   0.141513E+07,   0.491891E+06, 
   12,  264,   10,       10.000,      -75.000,        1.500,   0.141380E+07,   0.354317E+06, 
   12,  264,   10,       10.000,     -100.000,        1.500,   0.141222E+07,   0.273615E+06, 
   12,  264,   10,       20.000,      -10.000,        1.500,   0.942671E+06,   0.138494E+07, 
   12,  264,   10,       20.000,      -20.000,        1.500,   0.942181E+06,   0.904555E+06, 
   12,  264,   10,       20.000,      -30.000,        1.500,   0.941702E+06,   0.705551E+06, 
   12,  264,   10,       20.000,      -40.000,        1.500,   0.941141E+06,   0.579815E+06, 
   12,  264,   10,       20.000,      -50.000,        1.500,   0.940555E+06,   0.491721E+06, 
   12,  264,   10,       20.000,      -75.000,        1.500,   0.938941E+06,   0.354030E+06, 
   12,  264,   10,       20.000,     -100.000,        1.500,   0.937049E+06,   0.273078E+06, 
   12,  264,   10,       30.000,      -10.000,        1.500,   0.730498E+06,   0.138489E+07, 
   12,  264,   10,       30.000,      -20.000,        1.500,   0.729934E+06,   0.904473E+06, 
   12,  264,   10,       30.000,      -30.000,        1.500,   0.729341E+06,   0.705459E+06, 
   12,  264,   10,       30.000,      -40.000,        1.500,   0.728676E+06,   0.579697E+06, 
   12,  264,   10,       30.000,      -50.000,        1.500,   0.727988E+06,   0.491533E+06, 
   12,  264,   10,       30.000,      -75.000,        1.500,   0.726083E+06,   0.353635E+06, 
   12,  264,   10,       30.000,     -100.000,        1.500,   0.723904E+06,   0.272498E+06, 
   12,  264,   10,       40.000,      -10.000,        1.500,   0.591195E+06,   0.138479E+07, 
   12,  264,   10,       40.000,      -20.000,        1.500,   0.590551E+06,   0.904373E+06, 
   12,  264,   10,       40.000,      -30.000,        1.500,   0.589839E+06,   0.705354E+06, 
   12,  264,   10,       40.000,      -40.000,        1.500,   0.589093E+06,   0.579554E+06, 
   12,  264,   10,       40.000,      -50.000,        1.500,   0.588330E+06,   0.491328E+06, 
   12,  264,   10,       40.000,      -75.000,        1.500,   0.586132E+06,   0.353239E+06, 
   12,  264,   10,       40.000,     -100.000,        1.500,   0.583678E+06,   0.271839E+06, 
   12,  264,   10,       50.000,      -10.000,        1.500,   0.491881E+06,   0.138466E+07, 
   12,  264,   10,       50.000,      -20.000,        1.500,   0.491138E+06,   0.904235E+06, 
   12,  264,   10,       50.000,      -30.000,        1.500,   0.490347E+06,   0.705184E+06, 
   12,  264,   10,       50.000,      -40.000,        1.500,   0.489521E+06,   0.579348E+06, 
   12,  264,   10,       50.000,      -50.000,        1.500,   0.488627E+06,   0.491065E+06, 
   12,  264,   10,       50.000,      -75.000,        1.500,   0.486211E+06,   0.352783E+06, 
   12,  264,   10,       50.000,     -100.000,        1.500,   0.483474E+06,   0.271119E+06, 
   12,  264,   10,       75.000,      -10.000,        1.500,   0.336362E+06,   0.138427E+07, 
   12,  264,   10,       75.000,      -20.000,        1.500,   0.335429E+06,   0.903784E+06, 
   12,  264,   10,       75.000,      -30.000,        1.500,   0.334449E+06,   0.704629E+06, 
   12,  264,   10,       75.000,      -40.000,        1.500,   0.333439E+06,   0.578632E+06, 
   12,  264,   10,       75.000,      -50.000,        1.500,   0.332374E+06,   0.490197E+06, 
   12,  264,   10,       75.000,      -75.000,        1.500,   0.329467E+06,   0.351380E+06, 
   12,  264,   10,       75.000,     -100.000,        1.500,   0.326191E+06,   0.269038E+06, 
   12,  264,   10,      100.000,      -10.000,        1.500,   0.246940E+06,   0.138367E+07, 
   12,  264,   10,      100.000,      -20.000,        1.500,   0.245885E+06,   0.903114E+06, 
   12,  264,   10,      100.000,      -30.000,        1.500,   0.244796E+06,   0.703810E+06, 
   12,  264,   10,      100.000,      -40.000,        1.500,   0.243659E+06,   0.577665E+06, 
   12,  264,   10,      100.000,      -50.000,        1.500,   0.242470E+06,   0.489008E+06, 
   12,  264,   10,      100.000,      -75.000,        1.500,   0.239276E+06,   0.349491E+06, 
   12,  264,   10,      100.000,     -100.000,        1.500,   0.235718E+06,   0.266463E+06, 
   12,  264,   10,      -10.000,      -10.000,        1.500,   0.145701E+07,   0.138499E+07, 
   12,  264,   10,      -10.000,      -20.000,        1.500,   0.145688E+07,   0.904610E+06, 
   12,  264,   10,      -10.000,      -30.000,        1.500,   0.145670E+07,   0.705659E+06, 
   12,  264,   10,      -10.000,      -40.000,        1.500,   0.145650E+07,   0.580016E+06, 
   12,  264,   10,      -10.000,      -50.000,        1.500,   0.145626E+07,   0.492047E+06, 
   12,  264,   10,      -10.000,      -75.000,        1.500,   0.145552E+07,   0.354825E+06, 
   12,  264,   10,      -10.000,     -100.000,        1.500,   0.145459E+07,   0.274526E+06, 
   12,  264,   10,      -20.000,      -10.000,        1.500,   0.976852E+06,   0.138499E+07, 
   12,  264,   10,      -20.000,      -20.000,        1.500,   0.976832E+06,   0.904609E+06, 
   12,  264,   10,      -20.000,      -30.000,        1.500,   0.976779E+06,   0.705693E+06, 
   12,  264,   10,      -20.000,      -40.000,        1.500,   0.976697E+06,   0.580057E+06, 
   12,  264,   10,      -20.000,      -50.000,        1.500,   0.976560E+06,   0.492085E+06, 
   12,  264,   10,      -20.000,      -75.000,        1.500,   0.976140E+06,   0.354997E+06, 
   12,  264,   10,      -20.000,     -100.000,        1.500,   0.975513E+06,   0.274909E+06, 
   12,  264,   10,      -30.000,      -10.000,        1.500,   0.765399E+06,   0.138494E+07, 
   12,  264,   10,      -30.000,      -20.000,        1.500,   0.765514E+06,   0.904538E+06, 
   12,  264,   10,      -30.000,      -30.000,        1.500,   0.765591E+06,   0.705634E+06, 
   12,  264,   10,      -30.000,      -40.000,        1.500,   0.765627E+06,   0.580030E+06, 
   12,  264,   10,      -30.000,      -50.000,        1.500,   0.765612E+06,   0.492106E+06, 
   12,  264,   10,      -30.000,      -75.000,        1.500,   0.765493E+06,   0.355110E+06, 
   12,  264,   10,      -30.000,     -100.000,        1.500,   0.765162E+06,   0.275238E+06, 
   12,  264,   10,      -40.000,      -10.000,        1.500,   0.629512E+06,   0.138484E+07, 
   12,  264,   10,      -40.000,      -20.000,        1.500,   0.629725E+06,   0.904465E+06, 
   12,  264,   10,      -40.000,      -30.000,        1.500,   0.629911E+06,   0.705559E+06, 
   12,  264,   10,      -40.000,      -40.000,        1.500,   0.630102E+06,   0.579984E+06, 
   12,  264,   10,      -40.000,      -50.000,        1.500,   0.630205E+06,   0.492091E+06, 
   12,  264,   10,      -40.000,      -75.000,        1.500,   0.630370E+06,   0.355255E+06, 
   12,  264,   10,      -40.000,     -100.000,        1.500,   0.630332E+06,   0.275525E+06, 
   12,  264,   10,      -50.000,      -10.000,        1.500,   0.533580E+06,   0.138476E+07, 
   12,  264,   10,      -50.000,      -20.000,        1.500,   0.533918E+06,   0.904358E+06, 
   12,  264,   10,      -50.000,      -30.000,        1.500,   0.534234E+06,   0.705453E+06, 
   12,  264,   10,      -50.000,      -40.000,        1.500,   0.534536E+06,   0.579872E+06, 
   12,  264,   10,      -50.000,      -50.000,        1.500,   0.534766E+06,   0.492021E+06, 
   12,  264,   10,      -50.000,      -75.000,        1.500,   0.535216E+06,   0.355327E+06, 
   12,  264,   10,      -50.000,     -100.000,        1.500,   0.535452E+06,   0.275778E+06, 
   12,  264,   10,      -75.000,      -10.000,        1.500,   0.382641E+06,   0.138438E+07, 
   12,  264,   10,      -75.000,      -20.000,        1.500,   0.383291E+06,   0.903968E+06, 
   12,  264,   10,      -75.000,      -30.000,        1.500,   0.383875E+06,   0.705069E+06, 
   12,  264,   10,      -75.000,      -40.000,        1.500,   0.384491E+06,   0.579541E+06, 
   12,  264,   10,      -75.000,      -50.000,        1.500,   0.385012E+06,   0.491725E+06, 
   12,  264,   10,      -75.000,      -75.000,        1.500,   0.386184E+06,   0.355292E+06, 
   12,  264,   10,      -75.000,     -100.000,        1.500,   0.387004E+06,   0.276209E+06, 
   12,  264,   10,     -100.000,      -10.000,        1.500,   0.293309E+06,   0.138388E+07, 
   12,  264,   10,     -100.000,      -20.000,        1.500,   0.294238E+06,   0.903429E+06, 
   12,  264,   10,     -100.000,      -30.000,        1.500,   0.295119E+06,   0.704506E+06, 
   12,  264,   10,     -100.000,      -40.000,        1.500,   0.295956E+06,   0.578980E+06, 
   12,  264,   10,     -100.000,      -50.000,        1.500,   0.296741E+06,   0.491200E+06, 
   12,  264,   10,     -100.000,      -75.000,        1.500,   0.298475E+06,   0.355040E+06, 
   12,  264,   10,     -100.000,     -100.000,        1.500,   0.299898E+06,   0.276405E+06, 
