This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
       0.0   -300.0  0.0
      40.0   -300.0  0.0
      80.0   -300.0  0.0
     120.0   -300.0  0.0
     160.0   -300.0  0.0
     200.0   -300.0  0.0
     240.0   -300.0  0.0
     280.0   -300.0  0.0
     320.0   -300.0  0.0
     360.0   -300.0  0.0
     400.0   -300.0  0.0
     440.0   -300.0  0.0
     480.0   -300.0  0.0
     520.0   -300.0  0.0
     560.0   -300.0  0.0
     600.0   -300.0  0.0
     640.0   -300.0  0.0
     680.0   -300.0  0.0
     720.0   -300.0  0.0
     760.0   -300.0  0.0
     800.0   -300.0  0.0
     840.0   -300.0  0.0
     880.0   -300.0  0.0
     920.0   -300.0  0.0
     960.0   -300.0  0.0
    1000.0   -300.0  0.0
       0.0   -280.0  0.0
      40.0   -280.0  0.0
      80.0   -280.0  0.0
     120.0   -280.0  0.0
     160.0   -280.0  0.0
     200.0   -280.0  0.0
     240.0   -280.0  0.0
     280.0   -280.0  0.0
     320.0   -280.0  0.0
     360.0   -280.0  0.0
     400.0   -280.0  0.0
     440.0   -280.0  0.0
     480.0   -280.0  0.0
     520.0   -280.0  0.0
     560.0   -280.0  0.0
     600.0   -280.0  0.0
     640.0   -280.0  0.0
     680.0   -280.0  0.0
     720.0   -280.0  0.0
     760.0   -280.0  0.0
     800.0   -280.0  0.0
     840.0   -280.0  0.0
     880.0   -280.0  0.0
     920.0   -280.0  0.0
     960.0   -280.0  0.0
    1000.0   -280.0  0.0
       0.0   -260.0  0.0
      40.0   -260.0  0.0
      80.0   -260.0  0.0
     120.0   -260.0  0.0
     160.0   -260.0  0.0
     200.0   -260.0  0.0
     240.0   -260.0  0.0
     280.0   -260.0  0.0
     320.0   -260.0  0.0
     360.0   -260.0  0.0
     400.0   -260.0  0.0
     440.0   -260.0  0.0
     480.0   -260.0  0.0
     520.0   -260.0  0.0
     560.0   -260.0  0.0
     600.0   -260.0  0.0
     640.0   -260.0  0.0
     680.0   -260.0  0.0
     720.0   -260.0  0.0
     760.0   -260.0  0.0
     800.0   -260.0  0.0
     840.0   -260.0  0.0
     880.0   -260.0  0.0
     920.0   -260.0  0.0
     960.0   -260.0  0.0
    1000.0   -260.0  0.0
       0.0   -240.0  0.0
      40.0   -240.0  0.0
      80.0   -240.0  0.0
     120.0   -240.0  0.0
     160.0   -240.0  0.0
     200.0   -240.0  0.0
     240.0   -240.0  0.0
     280.0   -240.0  0.0
     320.0   -240.0  0.0
     360.0   -240.0  0.0
     400.0   -240.0  0.0
     440.0   -240.0  0.0
     480.0   -240.0  0.0
     520.0   -240.0  0.0
     560.0   -240.0  0.0
     600.0   -240.0  0.0
     640.0   -240.0  0.0
     680.0   -240.0  0.0
     720.0   -240.0  0.0
     760.0   -240.0  0.0
