RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,    1,        0.000,     -200.000,        0.000,   0.127400E+04, 
 1988,   61,    1,       40.000,     -200.000,        0.000,   0.152029E+04, 
 1988,   61,    1,       80.000,     -200.000,        0.000,   0.171551E+04, 
 1988,   61,    1,      120.000,     -200.000,        0.000,   0.195790E+04, 
 1988,   61,    1,      160.000,     -200.000,        0.000,   0.223827E+04, 
 1988,   61,    1,      200.000,     -200.000,        0.000,   0.238592E+04, 
 1988,   61,    1,      240.000,     -200.000,        0.000,   0.244761E+04, 
 1988,   61,    1,      280.000,     -200.000,        0.000,   0.252372E+04, 
 1988,   61,    1,      320.000,     -200.000,        0.000,   0.252514E+04, 
 1988,   61,    1,      360.000,     -200.000,        0.000,   0.254902E+04, 
 1988,   61,    1,      400.000,     -200.000,        0.000,   0.256134E+04, 
 1988,   61,    1,      440.000,     -200.000,        0.000,   0.256414E+04, 
 1988,   61,    1,      480.000,     -200.000,        0.000,   0.257219E+04, 
 1988,   61,    1,      520.000,     -200.000,        0.000,   0.256648E+04, 
 1988,   61,    1,      560.000,     -200.000,        0.000,   0.259099E+04, 
 1988,   61,    1,      600.000,     -200.000,        0.000,   0.260469E+04, 
 1988,   61,    1,      640.000,     -200.000,        0.000,   0.255741E+04, 
 1988,   61,    1,      680.000,     -200.000,        0.000,   0.254442E+04, 
 1988,   61,    1,      720.000,     -200.000,        0.000,   0.252043E+04, 
 1988,   61,    1,      760.000,     -200.000,        0.000,   0.249121E+04, 
 1988,   61,    1,      800.000,     -200.000,        0.000,   0.242835E+04, 
 1988,   61,    1,        0.000,     -180.000,        0.000,   0.147197E+04, 
 1988,   61,    1,       40.000,     -180.000,        0.000,   0.175319E+04, 
 1988,   61,    1,       80.000,     -180.000,        0.000,   0.207117E+04, 
 1988,   61,    1,      120.000,     -180.000,        0.000,   0.235702E+04, 
 1988,   61,    1,      160.000,     -180.000,        0.000,   0.265488E+04, 
 1988,   61,    1,      200.000,     -180.000,        0.000,   0.279456E+04, 
 1988,   61,    1,      240.000,     -180.000,        0.000,   0.288291E+04, 
