RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, # Hours, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,   24,        0.000,     -200.000,        0.000,   0.656208E+03, 
 1988,   61,   24,       40.000,     -200.000,        0.000,   0.782797E+03, 
 1988,   61,   24,       80.000,     -200.000,        0.000,   0.901237E+03, 
 1988,   61,   24,      120.000,     -200.000,        0.000,   0.103647E+04, 
 1988,   61,   24,      160.000,     -200.000,        0.000,   0.113491E+04, 
 1988,   61,   24,      200.000,     -200.000,        0.000,   0.117845E+04, 
 1988,   61,   24,      240.000,     -200.000,        0.000,   0.123717E+04, 
 1988,   61,   24,      280.000,     -200.000,        0.000,   0.125916E+04, 
 1988,   61,   24,      320.000,     -200.000,        0.000,   0.127206E+04, 
 1988,   61,   24,      360.000,     -200.000,        0.000,   0.128755E+04, 
 1988,   61,   24,      400.000,     -200.000,        0.000,   0.129445E+04, 
 1988,   61,   24,      440.000,     -200.000,        0.000,   0.131717E+04, 
 1988,   61,   24,      480.000,     -200.000,        0.000,   0.131249E+04, 
 1988,   61,   24,      520.000,     -200.000,        0.000,   0.131299E+04, 
 1988,   61,   24,      560.000,     -200.000,        0.000,   0.132093E+04, 
 1988,   61,   24,      600.000,     -200.000,        0.000,   0.131594E+04, 
 1988,   61,   24,      640.000,     -200.000,        0.000,   0.133077E+04, 
 1988,   61,   24,      680.000,     -200.000,        0.000,   0.132441E+04, 
 1988,   61,   24,      720.000,     -200.000,        0.000,   0.131926E+04, 
 1988,   61,   24,      760.000,     -200.000,        0.000,   0.131137E+04, 
 1988,   61,   24,      800.000,     -200.000,        0.000,   0.129383E+04, 
 1988,   61,   24,        0.000,     -180.000,        0.000,   0.757658E+03, 
 1988,   61,   24,       40.000,     -180.000,        0.000,   0.918499E+03, 
 1988,   61,   24,       80.000,     -180.000,        0.000,   0.106441E+04, 
 1988,   61,   24,      120.000,     -180.000,        0.000,   0.122241E+04, 
 1988,   61,   24,      160.000,     -180.000,        0.000,   0.135490E+04, 
 1988,   61,   24,      200.000,     -180.000,        0.000,   0.140618E+04, 
 1988,   61,   24,      240.000,     -180.000,        0.000,   0.144614E+04, 
 1988,   61,   24,      280.000,     -180.000,        0.000,   0.148275E+04, 
 1988,   61,   24,      320.000,     -180.000,        0.000,   0.149742E+04, 
 1988,   61,   24,      360.000,     -180.000,        0.000,   0.151548E+04, 
 1988,   61,   24,      400.000,     -180.000,        0.000,   0.152037E+04, 
 1988,   61,   24,      440.000,     -180.000,        0.000,   0.153432E+04, 
 1988,   61,   24,      480.000,     -180.000,        0.000,   0.154386E+04, 
 1988,   61,   24,      520.000,     -180.000,        0.000,   0.155038E+04, 
 1988,   61,   24,      560.000,     -180.000,        0.000,   0.153876E+04, 
 1988,   61,   24,      600.000,     -180.000,        0.000,   0.152617E+04, 
 1988,   61,   24,      640.000,     -180.000,        0.000,   0.155838E+04, 
 1988,   61,   24,      680.000,     -180.000,        0.000,   0.157063E+04, 
 1988,   61,   24,      720.000,     -180.000,        0.000,   0.157121E+04, 
 1988,   61,   24,      760.000,     -180.000,        0.000,   0.155531E+04, 
 1988,   61,   24,      800.000,     -180.000,        0.000,   0.154471E+04, 
 1988,   61,   24,        0.000,     -160.000,        0.000,   0.894923E+03, 
 1988,   61,   24,       40.000,     -160.000,        0.000,   0.110354E+04, 
 1988,   61,   24,       80.000,     -160.000,        0.000,   0.128071E+04, 
 1988,   61,   24,      120.000,     -160.000,        0.000,   0.146672E+04, 
 1988,   61,   24,      160.000,     -160.000,        0.000,   0.160407E+04, 
 1988,   61,   24,      200.000,     -160.000,        0.000,   0.167639E+04, 
 1988,   61,   24,      240.000,     -160.000,        0.000,   0.171718E+04, 
 1988,   61,   24,      280.000,     -160.000,        0.000,   0.174697E+04, 
 1988,   61,   24,      320.000,     -160.000,        0.000,   0.177711E+04, 
 1988,   61,   24,      360.000,     -160.000,        0.000,   0.179352E+04, 
 1988,   61,   24,      400.000,     -160.000,        0.000,   0.179521E+04, 
 1988,   61,   24,      440.000,     -160.000,        0.000,   0.181664E+04, 
 1988,   61,   24,      480.000,     -160.000,        0.000,   0.183721E+04, 
 1988,   61,   24,      520.000,     -160.000,        0.000,   0.185648E+04, 
 1988,   61,   24,      560.000,     -160.000,        0.000,   0.185113E+04, 
 1988,   61,   24,      600.000,     -160.000,        0.000,   0.186607E+04, 
 1988,   61,   24,      640.000,     -160.000,        0.000,   0.189836E+04, 
 1988,   61,   24,      680.000,     -160.000,        0.000,   0.189337E+04, 
 1988,   61,   24,      720.000,     -160.000,        0.000,   0.189514E+04, 
 1988,   61,   24,      760.000,     -160.000,        0.000,   0.190160E+04, 
 1988,   61,   24,      800.000,     -160.000,        0.000,   0.189627E+04, 
 1988,   61,   24,        0.000,     -140.000,        0.000,   0.107243E+04, 
 1988,   61,   24,       40.000,     -140.000,        0.000,   0.134237E+04, 
 1988,   61,   24,       80.000,     -140.000,        0.000,   0.155750E+04, 
 1988,   61,   24,      120.000,     -140.000,        0.000,   0.179817E+04, 
 1988,   61,   24,      160.000,     -140.000,        0.000,   0.195761E+04, 
 1988,   61,   24,      200.000,     -140.000,        0.000,   0.204279E+04, 
 1988,   61,   24,      240.000,     -140.000,        0.000,   0.208692E+04, 
 1988,   61,   24,      280.000,     -140.000,        0.000,   0.212318E+04, 
 1988,   61,   24,      320.000,     -140.000,        0.000,   0.215372E+04, 
 1988,   61,   24,      360.000,     -140.000,        0.000,   0.217755E+04, 
 1988,   61,   24,      400.000,     -140.000,        0.000,   0.220741E+04, 
 1988,   61,   24,      440.000,     -140.000,        0.000,   0.221742E+04, 
 1988,   61,   24,      480.000,     -140.000,        0.000,   0.224891E+04, 
 1988,   61,   24,      520.000,     -140.000,        0.000,   0.226833E+04, 
 1988,   61,   24,      560.000,     -140.000,        0.000,   0.229492E+04, 
 1988,   61,   24,      600.000,     -140.000,        0.000,   0.231677E+04, 
 1988,   61,   24,      640.000,     -140.000,        0.000,   0.235449E+04, 
 1988,   61,   24,      680.000,     -140.000,        0.000,   0.238207E+04, 
 1988,   61,   24,      720.000,     -140.000,        0.000,   0.240787E+04, 
 1988,   61,   24,      760.000,     -140.000,        0.000,   0.244392E+04, 
 1988,   61,   24,      800.000,     -140.000,        0.000,   0.243882E+04, 
 1988,   61,   24,        0.000,     -120.000,        0.000,   0.135692E+04, 
 1988,   61,   24,       40.000,     -120.000,        0.000,   0.171437E+04, 
 1988,   61,   24,       80.000,     -120.000,        0.000,   0.200105E+04, 
 1988,   61,   24,      120.000,     -120.000,        0.000,   0.230506E+04, 
 1988,   61,   24,      160.000,     -120.000,        0.000,   0.248622E+04, 
 1988,   61,   24,      200.000,     -120.000,        0.000,   0.257950E+04, 
 1988,   61,   24,      240.000,     -120.000,        0.000,   0.262921E+04, 
 1988,   61,   24,      280.000,     -120.000,        0.000,   0.268784E+04, 
 1988,   61,   24,      320.000,     -120.000,        0.000,   0.273322E+04, 
 1988,   61,   24,      360.000,     -120.000,        0.000,   0.276757E+04, 
 1988,   61,   24,      400.000,     -120.000,        0.000,   0.278568E+04, 
 1988,   61,   24,      440.000,     -120.000,        0.000,   0.284588E+04, 
 1988,   61,   24,      480.000,     -120.000,        0.000,   0.291394E+04, 
 1988,   61,   24,      520.000,     -120.000,        0.000,   0.293566E+04, 
 1988,   61,   24,      560.000,     -120.000,        0.000,   0.301450E+04, 
 1988,   61,   24,      600.000,     -120.000,        0.000,   0.305054E+04, 
 1988,   61,   24,      640.000,     -120.000,        0.000,   0.311465E+04, 
 1988,   61,   24,      680.000,     -120.000,        0.000,   0.316802E+04, 
 1988,   61,   24,      720.000,     -120.000,        0.000,   0.323815E+04, 
 1988,   61,   24,      760.000,     -120.000,        0.000,   0.331736E+04, 
 1988,   61,   24,      800.000,     -120.000,        0.000,   0.332273E+04, 
 1988,   61,   24,        0.000,     -100.000,        0.000,   0.175212E+04, 
 1988,   61,   24,       40.000,     -100.000,        0.000,   0.228084E+04, 
 1988,   61,   24,       80.000,     -100.000,        0.000,   0.267679E+04, 
 1988,   61,   24,      120.000,     -100.000,        0.000,   0.310583E+04, 
 1988,   61,   24,      160.000,     -100.000,        0.000,   0.329248E+04, 
 1988,   61,   24,      200.000,     -100.000,        0.000,   0.342084E+04, 
 1988,   61,   24,      240.000,     -100.000,        0.000,   0.349546E+04, 
 1988,   61,   24,      280.000,     -100.000,        0.000,   0.358879E+04, 
 1988,   61,   24,      320.000,     -100.000,        0.000,   0.364670E+04, 
 1988,   61,   24,      360.000,     -100.000,        0.000,   0.371982E+04, 
 1988,   61,   24,      400.000,     -100.000,        0.000,   0.382166E+04, 
 1988,   61,   24,      440.000,     -100.000,        0.000,   0.391044E+04, 
 1988,   61,   24,      480.000,     -100.000,        0.000,   0.403125E+04, 
 1988,   61,   24,      520.000,     -100.000,        0.000,   0.412265E+04, 
 1988,   61,   24,      560.000,     -100.000,        0.000,   0.424495E+04, 
 1988,   61,   24,      600.000,     -100.000,        0.000,   0.433221E+04, 
