RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,    1,        0.000,     -200.000,        0.000,   0.509599E+03, 
 1988,   61,    1,       40.000,     -200.000,        0.000,   0.608117E+03, 
 1988,   61,    1,       80.000,     -200.000,        0.000,   0.686206E+03, 
 1988,   61,    1,      120.000,     -200.000,        0.000,   0.783159E+03, 
 1988,   61,    1,      160.000,     -200.000,        0.000,   0.895309E+03, 
 1988,   61,    1,      200.000,     -200.000,        0.000,   0.954368E+03, 
 1988,   61,    1,      240.000,     -200.000,        0.000,   0.979043E+03, 
 1988,   61,    1,      280.000,     -200.000,        0.000,   0.100949E+04, 
 1988,   61,    1,      320.000,     -200.000,        0.000,   0.101005E+04, 
 1988,   61,    1,      360.000,     -200.000,        0.000,   0.101961E+04, 
 1988,   61,    1,      400.000,     -200.000,        0.000,   0.102453E+04, 
 1988,   61,    1,      440.000,     -200.000,        0.000,   0.102566E+04, 
 1988,   61,    1,      480.000,     -200.000,        0.000,   0.102888E+04, 
 1988,   61,    1,      520.000,     -200.000,        0.000,   0.102659E+04, 
 1988,   61,    1,      560.000,     -200.000,        0.000,   0.103639E+04, 
 1988,   61,    1,      600.000,     -200.000,        0.000,   0.104188E+04, 
 1988,   61,    1,      640.000,     -200.000,        0.000,   0.102296E+04, 
 1988,   61,    1,      680.000,     -200.000,        0.000,   0.101777E+04, 
 1988,   61,    1,      720.000,     -200.000,        0.000,   0.100817E+04, 
 1988,   61,    1,      760.000,     -200.000,        0.000,   0.996482E+03, 
 1988,   61,    1,      800.000,     -200.000,        0.000,   0.971341E+03, 
 1988,   61,    1,        0.000,     -180.000,        0.000,   0.588788E+03, 
 1988,   61,    1,       40.000,     -180.000,        0.000,   0.701274E+03, 
 1988,   61,    1,       80.000,     -180.000,        0.000,   0.828470E+03, 
 1988,   61,    1,      120.000,     -180.000,        0.000,   0.942809E+03, 
 1988,   61,    1,      160.000,     -180.000,        0.000,   0.106195E+04, 
 1988,   61,    1,      200.000,     -180.000,        0.000,   0.111782E+04, 
 1988,   61,    1,      240.000,     -180.000,        0.000,   0.115317E+04, 
 1988,   61,    1,      280.000,     -180.000,        0.000,   0.117638E+04, 
