RLINEv1_2   
SOURCE FILE: Source_Road.txt (1 Sources)
RECEPTOR FILE: Receptor_Road.txt (441 Receptors)
SURFACE FILE: ./ONSITE.SFC
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : Y 
Integraton option: Numerical
 
 Year, Julian_Day, # Hours, X-Coordinate, Y-Coordinate, Z-Coordinate, C_HWY,
 1988,   61,   24,        0.000,     -200.000,        0.000,   0.262483E+03, 
 1988,   61,   24,       40.000,     -200.000,        0.000,   0.313119E+03, 
 1988,   61,   24,       80.000,     -200.000,        0.000,   0.360495E+03, 
 1988,   61,   24,      120.000,     -200.000,        0.000,   0.414589E+03, 
 1988,   61,   24,      160.000,     -200.000,        0.000,   0.453963E+03, 
 1988,   61,   24,      200.000,     -200.000,        0.000,   0.471378E+03, 
 1988,   61,   24,      240.000,     -200.000,        0.000,   0.494868E+03, 
 1988,   61,   24,      280.000,     -200.000,        0.000,   0.503666E+03, 
 1988,   61,   24,      320.000,     -200.000,        0.000,   0.508826E+03, 
 1988,   61,   24,      360.000,     -200.000,        0.000,   0.515022E+03, 
 1988,   61,   24,      400.000,     -200.000,        0.000,   0.517781E+03, 
 1988,   61,   24,      440.000,     -200.000,        0.000,   0.526870E+03, 
 1988,   61,   24,      480.000,     -200.000,        0.000,   0.524998E+03, 
 1988,   61,   24,      520.000,     -200.000,        0.000,   0.525199E+03, 
 1988,   61,   24,      560.000,     -200.000,        0.000,   0.528374E+03, 
 1988,   61,   24,      600.000,     -200.000,        0.000,   0.526382E+03, 
 1988,   61,   24,      640.000,     -200.000,        0.000,   0.532315E+03, 
 1988,   61,   24,      680.000,     -200.000,        0.000,   0.529770E+03, 
 1988,   61,   24,      720.000,     -200.000,        0.000,   0.527710E+03, 
 1988,   61,   24,      760.000,     -200.000,        0.000,   0.524554E+03, 
 1988,   61,   24,      800.000,     -200.000,        0.000,   0.517541E+03, 
 1988,   61,   24,        0.000,     -180.000,        0.000,   0.303063E+03, 
 1988,   61,   24,       40.000,     -180.000,        0.000,   0.367399E+03, 
 1988,   61,   24,       80.000,     -180.000,        0.000,   0.425763E+03, 
 1988,   61,   24,      120.000,     -180.000,        0.000,   0.488963E+03, 
 1988,   61,   24,      160.000,     -180.000,        0.000,   0.541961E+03, 
 1988,   61,   24,      200.000,     -180.000,        0.000,   0.562471E+03, 
 1988,   61,   24,      240.000,     -180.000,        0.000,   0.578458E+03, 
 1988,   61,   24,      280.000,     -180.000,        0.000,   0.593101E+03, 
 1988,   61,   24,      320.000,     -180.000,        0.000,   0.598971E+03, 
 1988,   61,   24,      360.000,     -180.000,        0.000,   0.606195E+03, 
 1988,   61,   24,      400.000,     -180.000,        0.000,   0.608152E+03, 
 1988,   61,   24,      440.000,     -180.000,        0.000,   0.613733E+03, 
 1988,   61,   24,      480.000,     -180.000,        0.000,   0.617552E+03, 
 1988,   61,   24,      520.000,     -180.000,        0.000,   0.620160E+03, 
 1988,   61,   24,      560.000,     -180.000,        0.000,   0.615510E+03, 
 1988,   61,   24,      600.000,     -180.000,        0.000,   0.610475E+03, 
 1988,   61,   24,      640.000,     -180.000,        0.000,   0.623363E+03, 
 1988,   61,   24,      680.000,     -180.000,        0.000,   0.628262E+03, 
 1988,   61,   24,      720.000,     -180.000,        0.000,   0.628498E+03, 
 1988,   61,   24,      760.000,     -180.000,        0.000,   0.622139E+03, 
 1988,   61,   24,      800.000,     -180.000,        0.000,   0.617898E+03, 
 1988,   61,   24,        0.000,     -160.000,        0.000,   0.357969E+03, 
 1988,   61,   24,       40.000,     -160.000,        0.000,   0.441415E+03, 
 1988,   61,   24,       80.000,     -160.000,        0.000,   0.512283E+03, 
 1988,   61,   24,      120.000,     -160.000,        0.000,   0.586688E+03, 
 1988,   61,   24,      160.000,     -160.000,        0.000,   0.641627E+03, 
 1988,   61,   24,      200.000,     -160.000,        0.000,   0.670557E+03, 
 1988,   61,   24,      240.000,     -160.000,        0.000,   0.686873E+03, 
 1988,   61,   24,      280.000,     -160.000,        0.000,   0.698792E+03, 
 1988,   61,   24,      320.000,     -160.000,        0.000,   0.710847E+03, 
 1988,   61,   24,      360.000,     -160.000,        0.000,   0.717416E+03, 
 1988,   61,   24,      400.000,     -160.000,        0.000,   0.718091E+03, 
 1988,   61,   24,      440.000,     -160.000,        0.000,   0.726665E+03, 
 1988,   61,   24,      480.000,     -160.000,        0.000,   0.734897E+03, 
 1988,   61,   24,      520.000,     -160.000,        0.000,   0.742606E+03, 
 1988,   61,   24,      560.000,     -160.000,        0.000,   0.740466E+03, 
 1988,   61,   24,      600.000,     -160.000,        0.000,   0.746445E+03, 
 1988,   61,   24,      640.000,     -160.000,        0.000,   0.759363E+03, 
 1988,   61,   24,      680.000,     -160.000,        0.000,   0.757371E+03, 
 1988,   61,   24,      720.000,     -160.000,        0.000,   0.758078E+03, 
 1988,   61,   24,      760.000,     -160.000,        0.000,   0.760665E+03, 
 1988,   61,   24,      800.000,     -160.000,        0.000,   0.758535E+03, 
 1988,   61,   24,        0.000,     -140.000,        0.000,   0.428972E+03, 
 1988,   61,   24,       40.000,     -140.000,        0.000,   0.536946E+03, 
 1988,   61,   24,       80.000,     -140.000,        0.000,   0.622998E+03, 
 1988,   61,   24,      120.000,     -140.000,        0.000,   0.719269E+03, 
 1988,   61,   24,      160.000,     -140.000,        0.000,   0.783044E+03, 
 1988,   61,   24,      200.000,     -140.000,        0.000,   0.817119E+03, 
 1988,   61,   24,      240.000,     -140.000,        0.000,   0.834775E+03, 
 1988,   61,   24,      280.000,     -140.000,        0.000,   0.849282E+03, 
 1988,   61,   24,      320.000,     -140.000,        0.000,   0.861501E+03, 
 1988,   61,   24,      360.000,     -140.000,        0.000,   0.871036E+03, 
 1988,   61,   24,      400.000,     -140.000,        0.000,   0.882980E+03, 
 1988,   61,   24,      440.000,     -140.000,        0.000,   0.886991E+03, 
 1988,   61,   24,      480.000,     -140.000,        0.000,   0.899589E+03, 
 1988,   61,   24,      520.000,     -140.000,        0.000,   0.907362E+03, 
 1988,   61,   24,      560.000,     -140.000,        0.000,   0.918001E+03, 
 1988,   61,   24,      600.000,     -140.000,        0.000,   0.926744E+03, 
 1988,   61,   24,      640.000,     -140.000,        0.000,   0.941836E+03, 
 1988,   61,   24,      680.000,     -140.000,        0.000,   0.952871E+03, 
 1988,   61,   24,      720.000,     -140.000,        0.000,   0.963197E+03, 
 1988,   61,   24,      760.000,     -140.000,        0.000,   0.977620E+03, 
 1988,   61,   24,      800.000,     -140.000,        0.000,   0.975581E+03, 
 1988,   61,   24,        0.000,     -120.000,        0.000,   0.542768E+03, 
